Fighter Name,fightno,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit
Kenneth Bergh,1.0,4.56,75.0,1.27,28.0,0.0,0.0,0.0,0.0
Bret Bergmark,2.0,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2
Keith Berish,2.0,3.58,36.0,4.81,62.0,1.76,40.0,0.0,0.0
Dennis Bermudez,17.0,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1
Manny Bermudez,5.0,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1
Talita Bernardo,4.0,3.12,42.0,4.04,55.0,1.62,22.0,28.0,0.5
Dave Berry,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Berry,4.0,0.27,12.0,6.27,28.0,0.0,0.0,0.0,0.0
Dieusel Berto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edson Berto,3.0,1.76,36.0,4.62,47.0,5.47,40.0,0.0,2.7
Allen Berube,1.0,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4
Anton Berzin,1.0,4.4,46.0,6.8,67.0,2.0,28.0,0.0,1.0
Scott Bessac,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Bessette,3.0,4.36,41.0,4.45,58.0,0.64,28.0,61.0,0.3
Khadzhi Bestaev,1.0,6.15,29.0,10.0,43.0,0.0,0.0,0.0,0.0
Fernando Bettega,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arjan Bhullar,4.0,2.33,56.0,3.25,59.0,1.73,75.0,100.0,0.0
KB Bhullar,2.0,4.31,49.0,5.39,45.0,0.0,0.0,0.0,0.0
Bibulatov Magomed,3.0,3.6,51.0,1.83,52.0,2.85,40.0,75.0,0.0
David Bielkheden,4.0,1.11,57.0,1.64,54.0,2.65,63.0,14.0,0.0
Jeremiah Billington,1.0,1.6,62.0,7.06,35.0,0.0,0.0,50.0,0.0
Scott Bills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Birchak,6.0,3.93,36.0,3.67,56.0,0.48,14.0,61.0,0.5
Chris Birchler,1.0,9.35,46.0,14.83,35.0,0.0,0.0,0.0,0.0
Michael Bisping,32.0,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3
Amaury Bitetti,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caio Bittencourt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Biyong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Blachowicz,17.0,3.59,49.0,2.79,53.0,1.18,53.0,65.0,0.2
Jason Black,6.0,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2
Brad Blackburn,5.0,4.55,35.0,3.59,65.0,0.93,50.0,76.0,0.7
Jason Blackford,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Blackledge,1.0,2.91,61.0,2.55,46.0,0.0,0.0,75.0,0.0
Sherrard Blackledge,2.0,3.7,49.0,3.13,55.0,4.0,33.0,42.0,0.0
Erin Blanchfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
